location_id,Shape_Area,area,area_km2
BMW,384729600,384848303.537246,384.848303537245
CC,7309400,7314794.78625804,7.31479478625804
MW,50959000,50974835.820786,50.974835820786
NS,200,153.992463419902,0.000153992463419902
RC,39434200,39451006.1724661,39.4510061724661
RV,199810000,199868737.795254,199.868737795254
SS,271884000,271965239.423103,271.965239423103
UPSS,7310800,7315874.11914834,7.31587411914834
